source,target,weight
Alison J Nathan,Ghislaine Maxwell,1187
Ghislaine Maxwell,Jeffrey Epstein,694
Alison Moe,Lara Pomerantz,663
Alison Moe,Maurene Comey,660
Lara Pomerantz,Maurene Comey,608
Andrew Rohrbach,Lara Pomerantz,562
Alison Moe,Andrew Rohrbach,557
Christian R Everdell,Ghislaine Maxwell,539
Alison Moe,Ghislaine Maxwell,512
Andrew Rohrbach,Maurene Comey,497
Ghislaine Maxwell,Maurene Comey,497
Bobbi C Sternheim,Ghislaine Maxwell,479
Ghislaine Maxwell,Lara Pomerantz,475
Ghislaine Maxwell,Jeffrey S Pagliuca,444
Andrew Rohrbach,Ghislaine Maxwell,408
Alison J Nathan,Alison Moe,404
Alison J Nathan,Maurene Comey,403
Alison J Nathan,Christian R Everdell,368
Alison J Nathan,Lara Pomerantz,367
Ghislaine Maxwell,Laura A Menninger,334
Christian R Everdell,Jeffrey S Pagliuca,327
Jeffrey S Pagliuca,Laura A Menninger,313
Alison J Nathan,Andrew Rohrbach,309
Bobbi C Sternheim,Christian R Everdell,307
Alison J Nathan,Bobbi C Sternheim,289
Bobbi C Sternheim,Jeffrey S Pagliuca,282
Christian R Everdell,Laura A Menninger,282
Alison J Nathan,Jeffrey S Pagliuca,271
Lamine N'Diaye,Shirley V Skipper-Scott,260
Bobbi C Sternheim,Laura A Menninger,252
Damian Williams,Lara Pomerantz,239
Andrew Rohrbach,Damian Williams,234
Alison Moe,Damian Williams,233
Damian Williams,Maurene Comey,192
Ray Ormond,Shirley V Skipper-Scott,189
Alison Moe,Bobbi C Sternheim,181
Bobbi C Sternheim,Lara Pomerantz,181
Alison Moe,Christian R Everdell,174
Bobbi C Sternheim,Maurene Comey,174
Christian R Everdell,Maurene Comey,169
Andrew Rohrbach,Bobbi C Sternheim,158
Alison J Nathan,Laura A Menninger,146
Alison Moe,Jeffrey S Pagliuca,146
Alison J Nathan,Jeffrey Epstein,145
Christian R Everdell,Lara Pomerantz,141
Jeffrey Epstein,Sarah Kellen,141
Christian Everdell,Ghislaine Maxwell,138
Jeffrey S Pagliuca,Maurene Comey,137
Alison J Nathan,Christian Everdell,135
Damian Williams,Ghislaine Maxwell,134
Audrey Strauss,Maurene Comey,134
Jeffrey S Pagliuca,Lara Pomerantz,133
Andrew Rohrbach,Christian R Everdell,131
Alison Moe,Audrey Strauss,127
Andrew Rohrbach,Jeffrey S Pagliuca,122
Alison Moe,Christian Everdell,122
Audrey Strauss,Lara Pomerantz,119
Hugh Hurwitz,Ray Ormond,116
Christian Everdell,Lara Pomerantz,115
Andrew Rohrbach,Christian Everdell,114
Christian Everdell,Maurene Comey,113
Ghislaine Maxwell,Jeffrey Pagliuca,112
Lamine N'Diaye,Ray Ormond,112
Ghislaine Maxwell,Mark S Cohen,109
J Ray Ormond,Ray Ormond,104
Alex Rossmiller,Ghislaine Maxwell,103
Christian Everdell,Laura Menninger,103
Christian R Everdell,Mark S Cohen,102
Alex Rossmiller,Alison J Nathan,97
Bobbi Sternheim,Christian Everdell,94
Jeffrey Epstein,Richard M Berman,94
Alison J Nathan,Jeffrey Pagliuca,92
Ghislaine Maxwell,Laura Menninger,92
Jeffrey Epstein,Lee Plourde,92
Bobbi Sternheim,Ghislaine Maxwell,90
Alex Rossmiller,Alison Moe,88
Alex Rossmiller,Maurene Comey,84
Bobbi Sternheim,Lara Pomerantz,83
Bobbi Sternheim,Laura Menninger,82
Alison J Nathan,Bobbi Sternheim,80
Alison J Nathan,Damian Williams,79
Alison Moe,Bobbi Sternheim,79
Charisma Edge,Shirley V Skipper-Scott,79
Andrew Rohrbach,Bobbi Sternheim,78
Alison Moe,Laura Menninger,77
Audrey Strauss,Ghislaine Maxwell,76
Laura A Menninger,Maurene Comey,74
Alison Moe,Jeffrey Pagliuca,73
Jeffrey Epstein,R Alexander Acosta,73
Haley Robson,Jeffrey Epstein,72
J Ray Ormond,Shirley Skipper-Scott,72
Jeffrey Epstein,Lamine N'Diaye,71
Ray Ormond,Shirley Skipper-Scott,71
Bobbi Sternheim,Maurene Comey,70
Andrew Rohrbach,Laura Menninger,69
Lara Pomerantz,Laura Menninger,68
Jeffrey Epstein,Shirley V Skipper-Scott,68
Christian Everdell,Jeffrey Pagliuca,67
Laura Menninger,Maurene Comey,67
Alison J Nathan,Laura Menninger,65
Lara Pomerantz,Laura A Menninger,64
Jeffrey Epstein,Virginia Roberts,63
Charisma Edge,Lamine N'Diaye,63
Alison Moe,Laura A Menninger,62
Andrew Rohrbach,Laura A Menninger,62
Andrew Rohrbach,Audrey Strauss,62
Gerald Lefcourt,Jeffrey Epstein,61
Alison J Nathan,Mark S Cohen,61
Lilly Ann Sanchez,R Alexander Acosta,60
Jeffrey Pagliuca,Laura Menninger,59
Det Joe Recarey,Haley Robson,59
J Ray Ormond,Shirley V Skipper-Scott,59
Amanda Young,Paul Byrne,58
Jeffrey Pagliuca,Maurene Comey,58
Jeffrey Edward Epstein,Lamine N'Diaye,58
Jeffrey S Pagliuca,Mark S Cohen,57
Alex Rossmiller,Christian R Everdell,57
Bobbi C Sternheim,Damian Williams,56
Jeffrey Epstein,Lilly Ann Sanchez,56
Det Joe Recarey,Jeffrey Epstein,56
Laura A Menninger,Mark S Cohen,56
Jeffrey Pagliuca,Lara Pomerantz,55
Gerald Lefcourt,Lilly Ann Sanchez,55
Gerald Lefcourt,R Alexander Acosta,55
Lamine N'Diaye,Lee Plourde,55
Michael Thomas,Tova Noel,55
Bobbi C Sternheim,Mark S Cohen,55
Alison Moe,Jeffrey Epstein,54
Andrew Rohrbach,Jeffrey Pagliuca,54
Christian R Everdell,Damian Williams,52
Bobbi Sternheim,Jeffrey Pagliuca,52
Catherine O'Hagan Wolfe,Ghislaine Maxwell,51
Hugh Hurwitz,Jeffrey Epstein,51
Dave Rodgers,Jeffrey Epstein,51
Alison Moe,Amanda Young,50
Minor Victim-2,Minor Victim-3,50
Jeffrey Epstein,Lanna Belohlavek,50
Damian Williams,Jeffrey S Pagliuca,49
Damian Williams,Laura A Menninger,49
Alison Moe,Paul Byrne,49
Ghislaine Maxwell,Virginia Roberts,49
Jack A Goldberger,Jeffrey Epstein,49
Lee Plourde,Shirley V Skipper-Scott,49
Amanda Young,Maurene Comey,48
Jeffrey Epstein,Larry Visoski,48
Jack A Goldberger,Lanna Belohlavek,48
Jeffrey Epstein,Maurene Comey,46
Alison Moe,Sunny Drescher,46
Amanda Young,Lara Pomerantz,46
Andrew Rohrbach,Sunny Drescher,46
A Marie Villafana,Jeffrey Epstein,46
Det Dawson,Det Joe Recarey,46
Amanda Young,Andrew Rohrbach,45
Amanda Young,Bobbi C Sternheim,45
Bobbi C Sternheim,Sunny Drescher,45
Ghislaine Maxwell,Sunny Drescher,45
Maurene Comey,Sunny Drescher,45
Minor Victim-1,Minor Victim-3,45
A Marie Villafana,R Alexander Acosta,45
Ghislaine Maxwell,Jeff Pagliuca,45
Haley Robson,Sarah Kellen,45
Catherine O'Hagan Wolfe,Debra Ann Livingston,45
Amanda Young,Ghislaine Maxwell,44
Lara Pomerantz,Sunny Drescher,44
Paul Byrne,Sunny Drescher,44
Dave Rodgers,Larry Visoski,44
Alison J Nathan,Audrey Strauss,43
Annie Farmer,Ghislaine Maxwell,43
Amanda Young,Sunny Drescher,43
Andrew Rohrbach,Paul Byrne,43
Bobbi C Sternheim,Paul Byrne,43
Christian R Everdell,Sunny Drescher,43
Ghislaine Maxwell,Paul Byrne,43
Maurene Comey,Paul Byrne,43
Minor Victim-1,Minor Victim-2,43
A Marie Villafana,Gerald Lefcourt,43
Jeff Pagliuca,Laura Menninger,43
Cecilia Steen,Jeffrey E Epstein,43
Charisma Edge,Jeffrey Edward Epstein,43
Charisma Edge,Jeffrey Epstein,43
Amanda Young,Christian R Everdell,42
Alison Moe,Jeff Pagliuca,42
Jeff Pagliuca,Maurene Comey,42
Alex Rossmiller,Jeffrey S Pagliuca,42
Charisma Edge,James Petrucci,42
Charisma Edge,Lee Plourde,42
Christian R Everdell,Paul Byrne,41
Lara Pomerantz,Paul Byrne,41
Christian R Everdell,Mark Stewart Cohen,41
Christian Everdell,Jeff Pagliuca,41
David Oscar Markus,Ghislaine Maxwell,41
Jeffrey Epstein,Ray Ormond,41
Alison J Nathan,Amanda Young,40
Alison J Nathan,Sunny Drescher,40
Damian Williams,Sunny Drescher,40
A Marie Villafana,Lilly Ann Sanchez,40
Nadia Marcinkova,Sarah Kellen,40
Ghislaine Maxwell,Sigrid S Mccawley,39
Jeffrey Epstein,Minor Victim-1,39
Alison J Nathan,Paul Byrne,39
Alison J Nathan,Jeff Pagliuca,39
Jeff Pagliuca,Lara Pomerantz,39
Det Joe Recarey,Sarah Kellen,39
Judge Nathan,Judge Preska,39
Amanda Young,Damian Williams,38
Damian Williams,Paul Byrne,38
Alison J Nathan,Ghislain Maxwell,37
Jeffrey Epstein,Lara Pomerantz,37
Jeffrey S Pagliuca,Sunny Drescher,37
Laura A Menninger,Sunny Drescher,37
Det Joe Recarey,Jeff Epstein,37
Ghislaine Maxwell,Mark Stewart Cohen,37
Judge Pauley,Paul M Daugerdas,36
Audrey Strauss,Damian Williams,36
Larry Visoski,Sarah Kellen,36
Alison Moe,Nicole Simmons,36
Maurene Comey,Nicole Simmons,36
Alison Moe,Ann Lundberg,36
Amanda Young,Jeffrey S Pagliuca,36
Amanda Young,Laura A Menninger,36
Andrew Rohrbach,Ann Lundberg,36
Ann Lundberg,Damian Williams,36
Ann Lundberg,Ghislaine Maxwell,36
