id,label,document_frequency
Jeffrey Epstein,Jeffrey Epstein,3635
Ghislaine Maxwell,Ghislaine Maxwell,3007
Alison J Nathan,Alison J Nathan,1884
Jeffrey Edward Epstein,Jeffrey Edward Epstein,793
Alison Moe,Alison Moe,783
Maurene Comey,Maurene Comey,744
Lara Pomerantz,Lara Pomerantz,719
Andrew Rohrbach,Andrew Rohrbach,610
Christian R Everdell,Christian R Everdell,606
Bobbi C Sternheim,Bobbi C Sternheim,600
Shirley V Skipper-Scott,Shirley V Skipper-Scott,504
Jeffrey S Pagliuca,Jeffrey S Pagliuca,494
Jeffrey E Epstein,Jeffrey E Epstein,472
Ray Ormond,Ray Ormond,453
Lamine N'Diaye,Lamine N'Diaye,391
Laura A Menninger,Laura A Menninger,361
The Court,The Court,349
Sarah Kellen,Sarah Kellen,320
Damian Williams,Damian Williams,274
Virginia Roberts,Virginia Roberts,222
Annie Farmer,Annie Farmer,216
Judge Nathan,Judge Nathan,212
Audrey Strauss,Audrey Strauss,208
Christian Everdell,Christian Everdell,202
Charisma Edge,Charisma Edge,201
Hugh Hurwitz,Hugh Hurwitz,191
Alex Rossmiller,Alex Rossmiller,185
Haley Robson,Haley Robson,160
Richard M Berman,Richard M Berman,149
Lee Plourde,Lee Plourde,146
Juan Alessi,Juan Alessi,138
J Ray Ormond,J Ray Ormond,137
Park Dietz,Park Dietz,135
Jeffrey Pagliuca,Jeffrey Pagliuca,132
Lanna Belohlavek,Lanna Belohlavek,131
Det Joe Recarey,Det Joe Recarey,131
Paul M Daugerdas,Paul M Daugerdas,129
Mark S Cohen,Mark S Cohen,125
Larry Visoski,Larry Visoski,124
Laura Menninger,Laura Menninger,123
Minor Victim-3,Minor Victim-3,120
J Epstein,J Epstein,115
Bobbi Sternheim,Bobbi Sternheim,110
Shirley Skipper-Scott,Shirley Skipper-Scott,110
R Alexander Acosta,R Alexander Acosta,108
Catherine O'Hagan Wolfe,Catherine O'Hagan Wolfe,108
G Maxwell,G Maxwell,100
Minor Victim-1,Minor Victim-1,99
B Bc,B Bc,94
Catherine Conrad,Catherine Conrad,93
Minor Victim-2,Minor Victim-2,90
Michael Thomas,Michael Thomas,88
Minor Victim-4,Minor Victim-4,84
James Petrucci,James Petrucci,84
Jack A Goldberger,Jack A Goldberger,80
Tova Noel,Tova Noel,80
Dave Rodgers,Dave Rodgers,79
